,client_id,prof_id,job,months,description
0,0,1,бригадир комплексной бригады,10000,"Выращивание с/х культур:оз.пшеница,оз.ячмень,яр.ячмень,горох,подсолнечник,горчица,рапс,лен.Качество обработки почвы,заделки посевного материала,внесение минеральных удобрений,применение гербицидов,пестицыдов,ремонт с/х инвентаря и техники"
1,1,11,Заместитель генерального директора по общим вопросам,9,"Решение вопросов касающихся производственно - хозяйственной деятельности производства. Организация работы структурных подразделений, цехов."
2,1,10,Инженер - механик,8,Перерегистрация автотракторной техники. Списание техники. Оформление кредитов по залог техники. Страхование техники. Проведение техосмотров. Проверка технического состояния техники. Выпуск техники на линию.
3,1,9,Заведующий машинным двором,26,"Ремонт автомобилей, тракторов и с/х техники, снятие и постановка техники на хранение. Прием запчастей на склад, и выдача запасных частей для ремонта. В связи с отсутствием слесарей, совместно с трактористами и водителями производил ремонт узлов и агрегатов, выполнял слесарные работы. Совмещал должность заправщика ГСМ (вел документацию по приему ГСМ с АЗС и списанию ГСМ на единицу техники.)."
4,1,8,Заведующий прудовым хозяйством,7,Руководство коллективом прудового хозяйства. Выращивание товарной рыбы. Выращивание рыбопосадочного материала.
5,1,7,Заведующий прудовым хозяйством,36,Руководство коллективом прудового хозяйства. Выращивание товарной рыбы. Выращивание рыбопосадочного материала.
6,1,6,Инженер Охраны Труда 2-й категории,6,"Проведение вводных инструктажей. Разработка и согласование инструкций в области охраны труда по профессиям и видам работ. Разработка графиков проверок подразделений. Разработка графиков обучения рабочих и ИТР. Разработка программ обучения и билетов для проверки знаний рабочих. Проведение обучения работников РАФ. Участие в комиссиях: по проверке знаний работников, санитарного состояние подразделений. Проведение смотров -конкурсов в области охраны труда в подразделениях. Аттестация рабочих мест РАФ по условиям труда. Занимался вопросами экологии и пожарной безопасности предприятия. Переписка с контролирующими органами."
7,1,5,Инженер Охраны Труда,77,"Проведение вводных инструктажей. Разработка и согласование инструкций в области охраны труда по профессиям и видам работ. Разработка графиков проверок подразделений. Разработка графиков обучения рабочих и ИТР. Разработка программ обучения и билетов для проверки знаний рабочих. Проведение обучения работников РАФ. Участие в комиссиях: по проверке знаний работников, санитарного состояние подразделений. Проведение смотров -конкурсов в области охраны труда в подразделениях. Аттестация рабочих мест РАФ по условиям труда. Занимался вопросами экологии и пожарной безопасности предприятия. Переписка с контролирующими органами."
8,1,4,Рабочий рыбовод 5 разряда (Бригадир выростной бригады прудового хозяйства),27,Руководство выростной бригады. Выращивание рыбопосадочного материала. Периодически совмещал работу тракториста.
9,1,3,Машинист насосных установок (прудовое хозяйство),43,Ремонт оборудования насосной станции выростной бригады прудового хозяйства. Закачка воды в пруды. Выращивание рыбопосадочного материала. Периодически совмещал работу тракториста
10,1,2,Механик консервного завода,53,"Ремонт, обслуживание оборудования и тракторов консервного завода. Переоснащение консервного завода новым оборудованием."
11,1,1,Механик кормоцеха,3,"Ремонт, обслуживание оборудования и тракторов кормоцеха"
12,2,1,агроном семеновод,10000,"обязанности смотреть за качеством семенного материала, работа с семенной инспекцией, делать семенные партии для сертифицирования, проверять семенной материал на всхожесть и другие показатели. Работа с документами. В 2013 году был поставлен опыт по пшенице сорт Алтайская - 70 с применением гуминовых кислот, который успешно проявил себя. Награждалась неоднократно грамотами за добросовестный труд."
13,3,4,Ведущий специалист отдела главного механика,10000,"Контроль за правильной эксплуатацией, профилактический технический осмотр и ремонт автомобилей и иной транспортной техники. Обеспечение безаварийной и надежной работы на линиях, контроль исправного состояния подвижного состава, выпуск его на маршрут в соответствии с установленным графиком."
14,3,3,Стажер,2,Отработка начальных данных и ведение службы
15,3,2,Главный инженер,4,"Сервисное обслуживание техники, провереа техники наисправность перед выездом."
16,3,1,Инженер-механик,5,подготовка транспорта к работе в условиях уборочной страды
17,4,3,Машинист экскаватора,10000,"Очистка, углубление каналов, работа с грунтом. Строительство линейных объектов. Погрузка грунтов. Ремонт и обслуживание техники (экскаватора)."
18,4,2,Машинист экскаватора,10000,"Выполнение договорных работ и частных заказов: Погрузка грунта; Отсыпка различных объектов (дамбы, укрепление береговой линии и иных объектов) рытье линейных объектов и котлованов под строительство сооружений. Рабочее оборудование: ЭО 4111и ЭО 3211 (драглайн и обратная лопата)."
19,4,1,Машинист экскаватора,127,"Рытье и очистка каналов (всех типов);отсыпка дамб, рытье траншей и котлованов под строительство зданий, объектов и иных сооружений; погрузка грунта в автосамосвал. Рабочее оборудование: ЭО 4111и ЭО 3211 (драглайн и обратная лопата)."
20,5,1,Зоотехник,15,Организация и контроль технологических процессов на животноводческом комплексе. Увеличение молочной продукции и поголовья скота.
21,6,2,Заведующий МТФ,19,"Контроль и управление технологией содержания , кормления ,воспроизводства стада и выращивания молодняка КРС голштинской породы венгерской линии 200 голов . Контроль качества произведенной продукции .Расчет рациона кормления в зависимости от уровня продуктивности и физиологического состояния. Учет поголовья и отчетность."
22,6,1,"зоотехник селекционер, техник искусственного осеменения",52,Контроль и управление технологией воспроизводства стада швицкой породы .Искусственное осеменение КРС основного стада в количестве 600 голов.
23,7,1,Эксперт,10000,"Аккредитованный эксперт в области семеноводства, Апробация плодово-ягодной продукции, отбор проб, работа с документацией"
24,8,2,Ветеринарный врач,10000,"Лечение пушных зверей, контроль за приготовлением корма для зверей, отчетная документация"
25,8,1,"Начальник исследовательской лаборатории, главный ветеринарный врач бактериолог, врач серолог",10000,"Руководство ветеринарной лабораторией. Бактериологические исследования патологического материала, смывов с объектов внешней среды. Ветеринарная санитарная экспертиза молока, мяса, рыбы. Паразитарные исследования пчел, подмора, расплода. Серологические исследования на бруцеллез РСК, РА, РИД, лейкоз методом РИД."
26,9,1,Тракторист-машинист,247,работа в поле
27,10,8,Ветеринарный врач,10000,"Разнообразная лечебная деятельность (собаки, кошки, с/х животные и птица). Мелкие хирургические операции, вакцинация. Выезды на дом и мн. др."
28,10,7,Главный ветеринарный врач,9,"Организация лечебно-профилактических мероприятий. Контроль санитарно-зоогигиенических требований при выращивании животных, птицы. ВСЭ продукции животного происхождения. Тренинг и лечебно-профилактические мероприятия племенных и сторожевых собак используемых в ФСИН."
29,10,6,Начальник подсобного хозяйства,27,"Строительство, ремонт всех сельхоз построек, организация труда, снабжение строит. материалами,кормление, содержание, лечение животных, птицы. Организация всех процессов в животноводстве, растениеводстве и строительстве. Снабжение продуктами 2-х столовых, продажа избытка продукции на рынки сбыта и мн. др."
30,10,5,начальник,13,"Организация работ СББЖ, ветлаборатории по району, проведение лечебно-профилактических мероприятий сельско-хозяйственных, домашних животных, птицы, пчел. Реализация инструментов, ветпрепаратов, подкормок, биостимуляторов и др. Проведение хирургических операций на мелких домашних животных. Заключение договоров с юр. лицами, ИП, физическими лицами на платные ветеринарные услуги. Государственный ветеринарный надзор по району продукции животного происхождения. Выручка поднялась, в сравнении с прошлым годом,- на 33%, повысилась трудовая дисциплина и др."
31,10,4,Бригадир- сторитель,39,"Строительство, ремонт магазинов розничной и оптовой торговли различными товарами. Снабжение, закуп необходимыми стройматериалами, инструментами 3-х бригад. Отчетность, табеля и т. д."
32,10,3,Заместитель заведующего ветеринарной лечебницы,28,"Проведение лечебно-профилактических мероприятий сельско-хозяйственных, домашних животных, реликтовых, птицы, пчел. Реализация инструментов, ветпрепаратов, подкормок, биостимуляторов и др. Проведение хирургических операций на мелких домашних животных. Выездная ветеринарная медицина."
33,10,2,ветеринарный врач,19,"Вакцинация птицы от разных болезней аэрозольно и на конъюктиву глаз (Марека, Ньюкасла, гриппа), лечение от сальмонеллеза и других инфекционных заболеваний, борьба с паразитарными заболеваниями, сортировка по половозрастным группам, разработка полноценного рациона питания для каждой группы, борьба с синдромом снижения яйценоскости птицы, проведение дезинфекции, контроль за соблюдением микроклимата, распорядком кормления, максимальное устранение стрессовых факторов для птицы, участие в закупе кормов, подкормок, оборудования, инструментов, материалов, работа с документами, отчетами и т. д. и т. п."
34,10,1,Ветеринарный фельдшер (производственная практика),12,"Лечебно-профилактические мероприятия Крупно рогатого скота, контроль по кормлению, содержанию, выращиванию животных. ВСЭ молока. Отчетность."
35,11,5,машинист погрузочно-доставочной машины 5 разряда,4,"Отгрузка горной массы,зачистка забоев,доставка материалов в шахту, ремонт и обслуживание машины."
36,11,4,Подземный механик по ремонту горно-шахтного оборудования,3,Ремонт и обслуживание горно-шахтного оборудования
37,11,3,Машинист подземных самоходных машин,101,"Доставка материялов, перевозка людеи и грузов,дежурство по шахте в свабодное от работы время"
38,11,2,Машинист погрузочно-доставочной машины 3 разряда,3,"Отгрузка горной массы, зачистка забоев доставка материалов, ремонт и обслуживание машин"
39,11,1,Тракторист-машинист,144,Выполнение всех требований работодателя
